ds,category,yhat
2022-01-01,Hashtag_#Tech,-0.2327295860478242
2022-01-01,Hashtag_#Tech,-0.2327295860478242
2022-01-01,Hashtag_#Fitness,0.49667977284569303
2022-01-01,Hashtag_#Tech,-0.2327295860478242
2022-01-01,Hashtag_#Tech,-0.2327295860478242
2022-01-01,Hashtag_#Fitness,0.49667977284569303
2022-01-01,Hashtag_#Fitness,0.49667977284569303
2022-01-01,Hashtag_#Fitness,0.49667977284569303
2022-01-02,Hashtag_#Education,-0.7161173062040926
2022-01-02,Hashtag_#Music,0.37982760117550124
2022-01-02,Hashtag_#Education,-0.7161173062040926
2022-01-02,Hashtag_#Education,-0.7161173062040926
2022-01-02,Hashtag_#Fitness,0.16215338100633359
2022-01-02,Hashtag_#Education,-0.7161173062040926
2022-01-02,Hashtag_#Music,0.37982760117550124
2022-01-02,Hashtag_#Fitness,0.16215338100633359
2022-01-02,Hashtag_#Music,0.37982760117550124
2022-01-02,Hashtag_#Music,0.37982760117550124
2022-01-03,Hashtag_#Viral,0.11596901264303983
2022-01-03,Hashtag_#Viral,0.11596901264303983
2022-01-03,Hashtag_#Tech,-0.3834880222034316
2022-01-03,Hashtag_#Tech,-0.3834880222034316
2022-01-03,Hashtag_#Viral,0.11596901264303983
2022-01-03,Hashtag_#Viral,0.11596901264303983
2022-01-04,Hashtag_#Tech,-0.17141365902636607
2022-01-04,Hashtag_#Gaming,0.35591735609487646
2022-01-04,Hashtag_#Gaming,0.35591735609487646
2022-01-04,Hashtag_#Viral,-0.09345637447192026
2022-01-04,Hashtag_#Gaming,0.35591735609487646
2022-01-04,Hashtag_#Tech,-0.17141365902636607
2022-01-04,Hashtag_#Gaming,0.35591735609487646
2022-01-04,Hashtag_#Viral,-0.09345637447192026
2022-01-05,Hashtag_#Gaming,0.009186451397821344
2022-01-05,Hashtag_#Education,-0.47109651515594386
2022-01-05,Hashtag_#Tech,-0.2140022871828739
2022-01-05,Hashtag_#Gaming,0.009186451397821344
2022-01-05,Hashtag_#Education,-0.47109651515594386
2022-01-06,Hashtag_#Fitness,0.38401401980211114
2022-01-06,Hashtag_#Fashion,-0.46358574283068466
2022-01-06,Hashtag_#Fashion,-0.46358574283068466
2022-01-06,Hashtag_#Education,-0.13539878960440963
2022-01-06,Hashtag_#Viral,0.10838948744513745
2022-01-06,Hashtag_#Fashion,-0.46358574283068466
2022-01-06,Hashtag_#Gaming,-0.06955971921681864
2022-01-06,Hashtag_#Education,-0.13539878960440963
2022-01-06,Hashtag_#Viral,0.10838948744513745
2022-01-06,Hashtag_#Fashion,-0.46358574283068466
2022-01-06,Hashtag_#Gaming,-0.06955971921681864
2022-01-06,Hashtag_#Fitness,0.38401401980211114
2022-01-07,Hashtag_#Education,-0.223175082500298
2022-01-07,Hashtag_#Viral,0.14807401594822606
2022-01-07,Hashtag_#Fashion,-0.3289584372372753
2022-01-07,Hashtag_#Fitness,0.26978712370673474
2022-01-07,Hashtag_#Fashion,-0.3289584372372753
