Post_Date,Platform,Hashtag,Content_Type,Region,Engagement_Level,Views Cleaned,Likes Cleaned,Shares Cleaned,Comments Cleaned,Platform_Instagram,Platform_TikTok,Platform_Twitter,Platform_YouTube,Hashtag_#Challenge,Hashtag_#Comedy,Hashtag_#Dance,Hashtag_#Education,Hashtag_#Fashion,Hashtag_#Fitness,Hashtag_#Gaming,Hashtag_#Music,Hashtag_#Tech,Hashtag_#Viral,Content_Type_Live Stream,Content_Type_Post,Content_Type_Reel,Content_Type_Shorts,Content_Type_Tweet,Content_Type_Video,Region_Australia,Region_Brazil,Region_Canada,Region_Germany,Region_India,Region_Japan,Region_UK,Region_USA,Engagement_Level_High,Engagement_Level_Low,Engagement_Level_Medium,y,Engagement_Lag1,Engagement_Lag7,recency_days,recency_days_norm,dow,month
2022-01-01,YouTube,#Fitness,Live Stream,USA,Low,0.4496887747437962,0.09490391230328922,-1.3476567325283983,0.392114855345864,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,2.0,2.0,728,1.0,5,1
2022-01-01,YouTube,#Tech,Post,UK,Medium,-0.9824205763194426,0.7643735566482757,-0.3919548330150001,-0.536466648287117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1.0,2.0,728,1.0,5,1
2022-01-01,YouTube,#Comedy,Post,Canada,High,-1.2143871521123248,1.369638465366477,1.4122008805861317,-1.0149350186277482,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,2.0,2.0,728,1.0,5,1
2022-01-01,Twitter,#Fitness,Post,Brazil,Medium,0.7144221308983837,0.2868807138013563,-1.4641604275079623,0.8929173506702034,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3.0,2.0,728,1.0,5,1
2022-01-02,TikTok,#Music,Post,USA,High,-1.0327562111228592,0.4785526692470248,0.806010066011425,-0.9723671565898343,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,2.0,2.0,727,0.9986263736263736,6,1
2022-01-02,TikTok,#Dance,Reel,Brazil,High,0.91592296042665,0.40441965195916457,-0.09088946648482177,0.06333413144776563,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3.0,2.0,727,0.9986263736263736,6,1
2022-01-02,Twitter,#Fitness,Reel,Germany,High,0.3062277272356148,-1.3271059256653233,0.30878771038541275,0.48873270010297126,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3.0,2.0,727,0.9986263736263736,6,1
2022-01-02,TikTok,#Comedy,Video,Canada,Medium,-0.5338772177016718,-0.7882212448569339,-0.7686478196175593,1.5625910355265302,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3.0,1.0,727,0.9986263736263736,6,1
2022-01-02,Instagram,#Education,Shorts,UK,Medium,-1.6709135504058217,0.20296490955924767,1.004850837803185,0.6231575275911205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,2.0,2.0,727,0.9986263736263736,6,1
2022-01-02,TikTok,#Comedy,Live Stream,Japan,Medium,-0.3194993682947581,-0.4845668633903604,0.6039349919963694,-1.5211985225687936,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,2.0,3.0,727,0.9986263736263736,6,1
2022-01-03,Instagram,#Tech,Video,Brazil,Medium,-0.9311516453753961,-1.0070937821598116,-0.3079661976206955,-0.2374414200569683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2.0,2.0,726,0.9972527472527473,0,1
2022-01-03,TikTok,#Challenge,Shorts,Japan,Low,0.8502461846566968,1.238159748630802,1.5999968543600418,-0.29982294156318756,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2.0,3.0,726,0.9972527472527473,0,1
2022-01-03,Instagram,#Viral,Live Stream,UK,Medium,-1.5204897847736014,-0.7041322326305078,-1.4263466174717718,0.7708848119661179,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1.0,3.0,726,0.9972527472527473,0,1
2022-01-03,Instagram,#Tech,Tweet,Germany,Medium,0.5157698417934644,0.6216155359738496,1.6396342603306435,1.7187898845505203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2.0,3.0,726,0.9972527472527473,0,1
2022-01-03,Twitter,#Dance,Video,Brazil,High,1.4540264308536661,-1.710068778991162,0.601010357007219,1.0350436005665278,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,2.0,2.0,726,0.9972527472527473,0,1
2022-01-04,Instagram,#Gaming,Tweet,Canada,Low,1.606940356673147,1.5995616720688068,0.0349042455191019,-0.7007169843741994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3.0,2.0,725,0.9958791208791209,1,1
2022-01-04,TikTok,#Dance,Live Stream,Brazil,Low,1.3185511639790393,-0.715591672872949,1.2481804689004905,-0.8753992471778099,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,2.0,725,0.9958791208791209,1,1
